Author,Year,Type_of_Meta-Analysis,Age_Group,Health_Status,Skill_Level,N,Task,Outcome_Measure,Hedges_g,Standard_Error,Risk_of_Bias
Coker,2016,Distance effect,Adults,Healthy,Expert,21,Jumping,Jump distance,-0.232,0.217,Moderate
Kearney,2015,Distance effect,Adult,Healthy,Novice,18,Golf putting,Accuracy score,0.873,0.273,Low
"Marchant, Griffiths, et al.",2018,Distance effect,Children,Healthy,Novice,54,Jumping,Jump distance,0.101,0.135,Moderate
Porter et al.,2013,Distance effect,Adult,Healthy,Expert,38,Jumping,Jump distance,0.335,0.165,Moderate
Raisbeck & Yamada,2019,Distance effect,Adult,Healthy,Novice,24,Jumping,Jump height,0.291,0.205,Low
Duke et al.,2011,Distance effect,Adult,Healthy,Novice,12,Piano playing,Inter-onset interval variability,0.812,0.324,Low
Duke et al.,2011,Distance effect,Adult,Healthy,Expert,4,Piano playing,Inter-onset interval variability,0.374,0.454,Low
Lohse et al.,2014,Distance effect,Adult,Healthy,Novice,15,Dart throwing,Absolute error,5.248,0.991,Low
McKay & Wulf,2012,Distance effect,Adult,Healthy,Novice,36,Dart throwing,Accuracy score,0.417,0.172,Moderate
Porter et al.,2012,Distance effect,Adult,Healthy,Experienced,35,Jumping,Jump distance,0.191,0.169,Moderate
Stambaugh,2017,Distance effect,Adult,Healthy,Novice,15,Playing of musical instrument,Pitch error,-0.461,0.265,Low
Stambaugh,2017,Distance effect,Adult,Healthy,Experienced,15,Playing of musical instrument,Pitch error,0.017,0.251,Low
Ducharme & Wu,2015,EMG,Adults,Healthy,Novice,29,Balance,Peak EMG of right tibialis,0.14,0.184,Low
Greig & Marchant,2014,EMG,Adult,Healthy,Experienced,25,Elbow flexion,Peak EMG of biceps brachii,1.502,0.171,Low
"Halperin, Hughes, et al.",2016,EMG,Adult,Healthy,Experienced,28,Elbow flexion,Normalized EMG of biceps brachii,-0.075,0.187,Low
Kal et al.,2013,EMG,Adult,Healthy,Novice,30,Cyclic single-leg extension-flexion,Mean EMG of rectus,-0.112,0.181,Low
Kuhn et al.,2018 Exp 1,EMG,Adult,Healthy,Novice,14,Finger flexion,RMS EMG of,0.275,0.265,Low
Kuhn et al.,2017,EMG,Adult,Healthy,Novice,10,Finger abduction,EMG suppression of right first dorsal interosseous,1.628,0.474,Low
Lohse & Sherwood,2012 Exp 1 & 2,EMG,Adult,Healthy,Novice,24,Force production (plantar flexion),Cocontraction ratio of tibialis to soleus,0.419,0.147,Low
Lohse et al.,2010,EMG,Adult,Healthy,Novice,12,Dart throwing,Integrated EMG of triceps,1.37,0.395,Low
Lohse et al.,2011,EMG,Adult,Healthy,Novice,12,Force production (plantar flexion),Cocontraction ratio of tibialis to soleus,1.516,0.416,Low
Marchant & Greig,2017,EMG,Adult,Healthy,Experienced,20,Force production (knee extension),Integrated EMG of vastus medialis,0.279,0.224,Low
"Marchant, Greig, et al.",2009,EMG,Adult,Healthy,Experienced,25,Elbow flexion,Integrated EMG of biceps brachii,1.705,0.311,Low
Pelleck & Passmore,2017,EMG,Adult,Healthy,Novice,11,Golf putting,RMS EMG of left,0.037,0.205,Low
Pelleck & Passmore,2017,EMG,Adult,Healthy,Expert,13,Golf putting,extensor carpi radialis,0.075,0.19,Low
